Gene,Variance
5225,13.138067987230324
6440,13.038543021568236
51297,12.802661145783638
653509,10.926276465970405
729238,10.626249689537273
92304,9.949546338804293
6286,9.766503553195577
6192,9.754582146966706
117156,9.685092693469047
2266,9.612568786494917
2877,9.409484851895725
6690,9.401014553549519
10232,9.081937492232408
2243,8.971409725945772
7031,8.89694256127435
1646,8.674521834110525
1048,8.633118741601951
7356,8.527823928478137
5047,8.157385834524106
6439,8.082187257038685
2244,8.06420254886566
796,8.011067865059019
57016,7.68409733281753
28386,7.548514255606358
4477,7.391225484122116
5284,7.3787264245074065
7033,7.2377429584645725
28473,7.17678646586271
8781,7.169896015952994
92747,6.796826635673699
28458,6.774299718645163
727897,6.705484091304301
362,6.636453508522142
9244,6.563060319330154
7980,6.353298887814768
1645,6.342871410728653
1510,6.288792196753406
9547,6.191446478091893
57289,6.179919555706553
3495,6.166420975443554
1373,6.163353726680759
3853,5.927206965422109
563,5.9133832504704404
146556,5.785585553193179
3960,5.626540673849573
9476,5.617343530471836
56667,5.561772698019891
646195,5.24250703675915
1382,5.230741949896086
102723170,5.2053808857877835
