EntrezID,Symbol
5225,PGC
6440,SFTPC
51297,BPIFA1
653509,SFTPA1
729238,SFTPA2
92304,SCGB3A1
6286,S100P
6192,RPS4Y1
117156,SCGB3A2
2266,FGG
2877,GPX2
6690,SPINK1
10232,MSLN
2243,FGA
7031,TFF1
